,agent_type,scenario,reward,steps,interaction_num,duration,cost,datetime,duration_1000_steps_sec,episode_duration_sec,step_exec_times_sec
0,hm_llama3,0,-15.787,1599,28,,0.0,2025-12-07_07-39-44,759.6488425731659,1270.7040407657623,
1,hm_llama3,0,0.4389999999999996,1699,32,,0.0,2025-12-07_08-11-53,836.9967041015625,1427.2849397659302,
2,hm_llama3,0,44.422,1099,20,,0.0,2025-12-07_09-31-00,758.9137196540833,846.9091725349426,
3,hm_llama3,0,-44.027999999999984,1699,30,,0.0,2025-12-07_09-59-38,784.6382887363434,1349.3503873348236,
4,hm_llama3,0,3.742,1299,23,,0.0,2025-12-07_10-48-12,860.8041739463806,1088.4487545490265,
5,hm_llama3,0,25.427,1099,19,,0.0,2025-12-07_12-06-13,812.8982243537903,898.3296940326691,
6,hm_llama3,1,-60.666,1599,30,,0.0,2025-12-07_12-07-36,702.5219395160675,1161.7959537506104,
7,hm_llama3,1,-8.028,1199,21,,0.0,2025-12-07_12-45-54,725.5103452205658,863.9425563812256,
8,hm_llama3,1,-21.751,1299,23,,0.0,2025-12-07_13-26-10,826.4468622207642,1078.170138835907,
9,hm_llama3,1,-19.748,1099,19,,0.0,2025-12-07_13-49-07,829.4083049297333,916.0355236530304,
10,hm_llama3,1,-76.693,2499,41,,0.0,2025-12-07_14-12-36,715.0712153911591,1932.5909159183504,
11,hm_llama3,1,-62.382,2199,40,,0.0,2025-12-07_14-53-03,841.0701324939728,1903.862094640732,
12,hm_llama3,1,-50.42,1599,28,,0.0,2025-12-07_15-30-53,709.6554117202759,1242.5791583061218,
13,hm_llama3,2,5.173,1099,16,,0.0,2025-12-07_16-58-34,677.6541037559509,749.903165102005,
14,hm_llama3,2,10.664,1199,20,,0.0,2025-12-07_17-00-50,710.6606991291046,865.2128338813782,
15,hm_llama3,2,11.602,1199,20,,0.0,2025-12-07_17-13-23,692.1102244853973,876.4527449607849,
16,hm_llama3,2,-33.28699999999999,1999,35,,0.0,2025-12-07_17-17-18,833.7597477436066,1736.1219885349274,
17,hm_llama3,2,0.7730000000000001,1499,26,,0.0,2025-12-07_17-30-33,875.7087285518646,1230.9146406650543,
18,hm_llama3,2,54.701999999999984,2799,48,,0.0,2025-12-07_23-20-03,758.1907494068146,2173.5633158683777,
19,hm_llama3,2,-8.359000000000002,1399,25,,0.0,2025-12-08_01-30-18,875.0383939743042,1237.623502492905,
20,hm_llama3,2,5.416,1499,26,,0.0,2025-12-08_01-32-50,836.427188873291,1276.1432301998138,
21,hm_llama3,2,-47.659,1299,20,,0.0,2025-12-08_01-53-24,773.0266330242157,957.8909258842468,
22,hm_llama3,3,-17.118000000000002,1199,20,,0.0,2025-12-08_03-49-53,886.4702582359314,1050.505187511444,
23,hm_llama3,3,-11.398999999999996,2499,42,,0.0,2025-12-08_03-49-30,872.4925417900085,2282.691069126129,
24,hm_llama3,3,26.044999999999995,1399,24,,0.0,2025-12-08_04-09-49,712.1255533695221,1084.0013494491575,
25,hm_llama3,3,-33.88899999999999,1599,29,,0.0,2025-12-08_04-29-55,850.5234096050262,1370.5130805969238,
26,hm_llama3,3,28.613000000000003,1799,36,,0.0,2025-12-08_04-30-21,821.9235627651215,1492.1117250919342,
27,hm_llama3,3,22.634000000000004,2599,48,,0.0,2025-12-08_04-54-50,839.4744620323181,2342.29385304451,
28,hm_llama3,0,25.658,1299,22,,0.0,2025-12-08_07-28-01,755.1194386482239,968.717892885208,
29,hm_llama3,0,-3.330000000000002,3099,53,,0.0,2025-12-08_07-25-29,736.1113901138306,2181.48628950119,
30,hm_llama3,0,-1.165,1499,23,,0.0,2025-12-08_07-46-21,738.958598613739,1113.6091544628143,
31,hm_llama3,0,-34.989,1699,30,,0.0,2025-12-08_09-29-05,775.606198310852,1423.1269681453705,
32,hm_llama3,0,74.533,1699,30,,0.0,2025-12-08_09-29-11,851.2141380310059,1514.9761345386505,
33,hm_llama3,0,17.254,1099,18,,0.0,2025-12-08_09-56-40,796.8063724040985,863.2262125015259,
34,hm_llama3,0,-33.161,1399,23,,0.0,2025-12-08_09-55-08,721.2003891468048,1073.027952194214,
35,hm_llama3,0,-36.88399999999999,1399,24,,0.0,2025-12-08_10-34-25,623.9468145370483,854.0752844810486,
36,hm_llama3,0,9.826,1299,23,,0.0,2025-12-08_10-34-52,686.3437819480896,867.8128345012665,
37,hm_llama3,0,-35.465,1099,21,,0.0,2025-12-08_10-51-16,814.5371935367584,911.000718832016,
38,hm_llama3,0,3.345,1099,19,,0.0,2025-12-08_10-54-07,699.2245421409607,783.945642709732,
39,hm_llama3,0,1.4750000000000003,1099,19,,0.0,2025-12-08_11-08-35,651.6631007194519,732.0072236061096,
40,hm_llama3,0,24.510000000000005,1299,21,,0.0,2025-12-08_12-02-09,665.2989151477814,891.6154203414917,
41,hm_llama3,0,10.529,1299,26,,0.0,2025-12-08_12-01-50,743.8989202976227,990.3304557800292,
42,hm_llama3,4,3.301,1399,25,,0.0,2025-12-08_13-10-31,880.982634305954,1199.8988654613495,
43,hm_llama3,4,38.38899999999998,1899,33,,0.0,2025-12-08_13-10-24,696.5749733448029,1478.6690859794617,
44,hm_llama3,4,-21.23699999999999,1199,20,,0.0,2025-12-08_13-37-28,697.3149952888489,839.4330055713654,
45,hm_llama3,4,-69.33699999999997,1899,32,,0.0,2025-12-08_13-32-56,760.1566352844238,1452.9983296394348,
46,hm_llama3,4,1.5319999999999998,1099,20,,0.0,2025-12-08_13-53-51,747.9409880638123,826.5262806415558,
47,hm_llama3,4,2.642,2699,48,,0.0,2025-12-08_13-59-30,841.127660036087,2273.943178892136,
48,hm_llama3,5,15.480999999999998,1099,9,,0.0,2025-12-08_15-12-59,737.3581638336182,832.571973323822,
49,hm_llama3,5,-10.099,1499,16,,0.0,2025-12-08_15-10-18,717.9627294540405,1124.6637456417084,
50,hm_llama3,5,8.096,1299,10,,0.0,2025-12-08_15-34-20,498.3830602169037,709.0165250301361,
51,hm_llama3,5,6.618,2199,20,,0.0,2025-12-08_15-32-14,578.1947076320648,1251.3441615104675,
52,hm_llama3,6,-15.076,1399,23,,0.0,2025-12-08_15-48-23,733.1041889190674,1068.4730560779572,
53,hm_llama3,6,-27.498999999999995,1399,22,,0.0,2025-12-08_15-55-13,733.9965310096741,1011.4181215763092,
54,hm_llama3,6,-40.394,1299,20,,0.0,2025-12-08_16-08-26,695.7293667793274,902.8742926120758,
55,hm_llama3,6,36.057,1399,25,,0.0,2025-12-08_16-14-29,734.6587212085724,1135.512416124344,
56,hm_llama3,6,-19.452,1099,20,,0.0,2025-12-08_16-26-05,835.1828639507294,930.4841532707214,
57,hm_llama3,6,-13.025000000000002,1199,16,,0.0,2025-12-08_16-35-46,612.8714308738708,763.304762840271,
58,hm_llama3,7,-69.712,1699,30,,0.0,2025-12-09_01-59-22,731.748407125473,1304.0122623443604,
59,hm_llama3,7,-2.5499999999999994,1499,27,,0.0,2025-12-09_02-01-48,754.6735949516296,1198.8380954265594,
60,hm_llama3,7,-30.201,1399,27,,0.0,2025-12-09_02-22-57,768.1812958717346,1131.1894736289978,
61,hm_llama3,7,-42.30200000000001,1099,19,,0.0,2025-12-09_02-52-11,753.0125968456268,839.808614730835,
62,hm_llama3,7,78.592,1699,31,,0.0,2025-12-09_02-51-46,719.9819798469543,1278.864028453827,
63,hm_llama3,7,133.57400000000004,3099,55,,0.0,2025-12-09_03-08-04,670.6800119876862,2167.507521629333,
64,hm_llama3,5,-14.361000000000002,1099,13,,0.0,2025-12-09_04-30-14,637.2027432918549,715.5330996513367,
65,hm_llama3,5,13.830000000000004,2299,26,,0.0,2025-12-09_05-08-11,548.4943766593933,1670.3349652290344,
66,hm_llama3,0,-31.486000000000004,1499,24,,0.0,2025-12-09_05-55-40,786.6025280952454,1218.0992801189425,
67,hm_llama3,0,76.41100000000002,1899,32,,0.0,2025-12-09_05-56-12,816.3750507831573,1604.0705544948578,
68,hm_llama3,1,-12.557,1299,23,,0.0,2025-12-09_06-18-10,854.4410758018494,1136.3109304904938,
69,hm_llama3,1,-6.464999999999998,1899,31,,0.0,2025-12-09_06-25-10,714.9999370574951,1503.9771497249603,
70,hm_llama3,1,-12.287999999999998,1899,35,,0.0,2025-12-09_06-39-42,822.7033431529999,1634.022472858429,
71,hm_llama3,1,-25.485,1099,18,,0.0,2025-12-09_06-52-34,810.9407455921173,879.236533164978,
72,hm_llama3,1,-5.881000000000001,1099,19,,0.0,2025-12-09_07-59-19,928.6294322013856,1007.1741552352904,
73,hm_llama3,1,-51.57599999999999,2199,39,,0.0,2025-12-09_07-59-38,913.869262456894,2159.4731414318085,
74,hm_llama3,2,-19.644,1799,30,,0.0,2025-12-09_08-43-57,789.4923279285431,1535.9940428733826,
75,hm_llama3,2,-38.921,1299,25,,0.0,2025-12-09_09-19-00,917.214054107666,1278.6595344543457,
76,hm_llama3,2,43.21499999999999,1899,32,,0.0,2025-12-09_09-16-11,756.4507477283478,1568.2777190208435,
77,hm_llama3,2,-8.459999999999999,2199,43,,0.0,2025-12-09_09-42-20,792.5216264724731,2070.571384191513,
78,hm_llama3,2,70.488,1699,33,,0.0,2025-12-09_10-57-07,933.3737437725068,1590.633324384689,
79,hm_llama3,2,13.497,3199,54,,0.0,2025-12-09_11-00-28,838.469898223877,2947.755501747132,
80,hm_llama3,3,-14.48,1199,20,,0.0,2025-12-09_11-56-18,773.3284142017365,957.693502664566,
81,hm_llama3,3,-0.28,1399,28,,0.0,2025-12-09_11-59-01,829.4681513309479,1251.3123598098755,
82,hm_llama3,3,3.1800000000000006,1199,24,,0.0,2025-12-09_12-14-29,985.2263967990876,1224.4959981441498,
83,hm_llama3,3,29.457000000000004,1299,25,,0.0,2025-12-09_12-22-07,905.5417566299438,1205.5485401153564,
84,hm_llama3,3,1.8300000000000003,1499,27,,0.0,2025-12-09_12-36-56,892.6027185916901,1305.12748670578,
85,hm_llama3,4,-9.826,1199,19,,0.0,2025-12-09_15-33-28,767.762689113617,865.5716426372528,
86,hm_llama3,3,-5.502000000000001,1399,28,,0.0,2025-12-09_15-30-34,1017.021956205368,1422.6525573730469,
87,hm_llama3,4,2.682,1199,20,,0.0,2025-12-09_15-56-37,910.433221578598,1089.1357171535492,
88,hm_llama3,4,-53.07599999999998,1899,34,,0.0,2025-12-09_15-49-55,849.5151238441467,1687.0264465808868,
89,hm_llama3,4,-9.394,1099,21,,0.0,2025-12-09_16-17-11,865.4835290908813,927.4608657360076,
90,hm_llama3,4,1.1770000000000005,1299,21,,0.0,2025-12-09_16-35-05,725.9297943115234,1074.173669576645,
91,hm_llama3,4,86.97300000000001,2899,46,,0.0,2025-12-09_16-20-26,598.257922410965,2346.410752773285,
92,hm_llama3,5,-0.193,1199,10,,0.0,2025-12-10_04-34-52,559.1436865329742,700.0472130775452,
93,hm_llama3,5,-2.886,1399,15,,0.0,2025-12-10_04-37-16,686.7037818431854,962.5899412631989,
94,hm_llama3,5,-1.9120000000000008,1199,12,,0.0,2025-12-10_04-48-44,624.5288836956024,751.8961420059204,
95,hm_llama3,5,19.413,1099,11,,0.0,2025-12-10_04-55-54,636.4598686695099,708.4001784324646,
96,hm_llama3,5,13.959,1299,12,,0.0,2025-12-10_05-03-47,589.9335441589355,806.0358052253723,
97,hm_llama3,5,-13.825,1299,16,,0.0,2025-12-10_05-32-46,651.2088396549225,885.3745403289795,
98,hm_llama3,6,-33.959,1899,32,,0.0,2025-12-10_05-35-18,774.8451554775238,1624.0656793117523,
99,hm_llama3,6,-45.74399999999999,1599,27,,0.0,2025-12-10_05-50-10,802.1988387107849,1374.3418064117432,
100,hm_llama3,6,5.018,1399,24,,0.0,2025-12-10_06-04-28,812.1786353588104,1140.2093703746796,
101,hm_llama3,6,-1.2359999999999995,1099,19,,0.0,2025-12-10_06-15-33,854.6187343597412,959.8053987026216,
102,hm_llama3,6,-14.968,1199,19,,0.0,2025-12-10_06-25-56,869.5830609798431,1026.9594902992249,
103,hm_llama3,6,15.622000000000002,1199,19,,0.0,2025-12-10_06-33-59,796.672176361084,968.695093870163,
104,hm_llama3,7,18.196,1499,26,,0.0,2025-12-10_07-25-48,794.6675293445587,1251.7530789375303,
105,hm_llama3,7,62.797,1499,28,,0.0,2025-12-10_07-28-16,821.8774824142456,1305.0138127803802,
106,hm_llama3,7,-10.106,2199,40,,0.0,2025-12-10_07-48-53,844.4480800628662,2028.493708610535,
107,hm_llama3,7,-7.729999999999999,2599,50,,0.0,2025-12-10_07-52-14,835.0407679080963,2483.7922101020813,
108,hm_llama3,7,-15.18,1199,21,,0.0,2025-12-10_08-24-55,892.0427091121674,1071.368854522705,
109,hm_llama3,7,1.2739999999999996,1199,21,,0.0,2025-12-10_09-50-37,844.7818899154663,1007.2840459346772,
110,hm_llama3,1,-16.244,1399,23,,0.0,2025-12-10_10-13-33,671.5440528392792,962.5268402099608,
111,hm_llama3,1,-12.145,1299,23,,0.0,2025-12-10_10-23-47,793.5031974315643,1002.8045616149902,
112,hm_llama3,1,-40.793,1299,24,,0.0,2025-12-10_10-31-34,654.9153611660004,871.018265247345,
113,hm_llama3,1,1.761,1099,19,,0.0,2025-12-10_10-42-41,657.58416056633,731.289324760437,
114,hm_llama3,1,1.4719999999999998,1099,19,,0.0,2025-12-10_10-47-56,621.479336977005,706.3006627559662,
115,hm_llama3,1,-7.745000000000001,1399,25,,0.0,2025-12-10_13-48-26,787.7566967010498,1042.5557413101196,
116,hm_llama3,2,-43.215,1399,22,,0.0,2025-12-10_15-27-54,651.2700395584106,928.489804506302,
117,hm_llama3,2,-14.512,1399,23,,0.0,2025-12-10_15-28-13,684.0018017292023,957.1541965007782,
118,hm_llama3,2,-30.508000000000006,1099,18,,0.0,2025-12-10_15-45-52,724.192943572998,800.717714548111,
119,hm_llama3,2,-46.435,1199,21,,0.0,2025-12-10_15-46-10,656.4629368782043,790.852846622467,
120,hm_llama3,2,-39.91,1099,19,,0.0,2025-12-10_16-01-13,628.0712563991547,670.3953790664673,
121,hm_llama3,2,6.216000000000001,1699,29,,0.0,2025-12-10_16-01-34,722.8918220996857,1199.512080192566,
122,hm_llama3,3,10.381,1199,22,,0.0,2025-12-10_16-27-41,744.8803899288177,869.8102602958679,
123,hm_llama3,3,-8.495999999999999,1099,20,,0.0,2025-12-10_16-30-02,738.5950498580933,778.7362160682678,
124,hm_llama3,3,-42.527,1299,21,,0.0,2025-12-10_16-44-37,609.8358812332153,830.0848605632782,
125,hm_llama3,3,-2.9160000000000004,1199,22,,0.0,2025-12-10_16-44-55,657.9943761825562,817.7660291194916,
126,hm_llama3,3,5.945,1099,18,,0.0,2025-12-10_17-00-47,736.6293590068817,787.6967124938965,
127,hm_llama3,4,-21.088,1999,33,,0.0,2025-12-10_17-00-32,654.4451053142548,1331.4841730594635,
128,hm_llama3,4,-25.181,1399,24,,0.0,2025-12-10_17-16-15,745.3111398220062,1018.6485164165496,
129,hm_llama3,4,3.5279999999999987,1299,22,,0.0,2025-12-10_17-25-02,754.544353723526,957.0194432735444,
130,hm_llama3,4,-10.091,1399,23,,0.0,2025-12-10_17-35-50,696.4415149688721,973.2579572200776,
131,hm_llama3,4,1.082,1099,19,,0.0,2025-12-10_17-43-11,659.0654380321503,704.0099899768829,
132,hm_llama3,4,-58.68800000000001,1799,30,,0.0,2025-12-10_17-54-09,686.5269665718079,1134.0978269577026,
133,hm_llama3,3,2.771,1799,31,,0.0,2025-12-11_02-04-21,683.7344319820404,1343.1641945838928,
134,hm_llama3,5,13.974000000000002,2199,21,,0.0,2025-12-11_02-07-13,483.3778176307678,1181.0542521476746,
135,hm_llama3,5,-2.459,1399,15,,0.0,2025-12-11_02-28-42,580.2801072597504,812.6244118213654,
136,hm_llama3,5,-0.5830000000000002,1599,13,,0.0,2025-12-11_02-29-09,496.2640547752381,821.8974385261536,
137,hm_llama3,5,24.629000000000005,1299,13,,0.0,2025-12-11_02-44-13,567.4962375164032,720.2056653499603,
138,hm_llama3,5,18.012999999999998,1699,16,,0.0,2025-12-11_02-44-59,530.9921553134918,894.7893640995026,
139,hm_llama3,6,-46.935,1299,23,,0.0,2025-12-11_05-47-30,754.5159089565277,973.7542927265168,
140,hm_llama3,5,-9.392,1599,21,,0.0,2025-12-11_05-47-11,617.0878555774689,996.5574686527252,
141,hm_llama3,6,-0.581,1099,20,,0.0,2025-12-11_06-05-52,951.9515039920808,1009.1306855678558,
142,hm_llama3,6,11.975,2399,36,,0.0,2025-12-11_06-08-30,651.6366035938263,1522.7823197841644,
143,hm_llama3,6,20.525,1099,19,,0.0,2025-12-11_06-24-53,649.3321876525879,719.9889028072357,
144,hm_llama3,6,5.196,1699,31,,0.0,2025-12-11_06-35-57,776.8616676330566,1347.2498655319214,
145,hm_llama3,6,-38.008,1199,20,,0.0,2025-12-11_07-01-25,689.8461239337921,782.6306936740875,
146,hm_llama3,7,59.89500000000001,1499,28,,0.0,2025-12-11_07-01-46,784.0612568855286,1122.4282529354095,
147,hm_llama3,7,-13.900999999999998,1099,17,,0.0,2025-12-11_07-16-20,768.3557305335999,813.7506880760193,
148,hm_llama3,7,-54.03700000000001,1299,23,,0.0,2025-12-11_07-22-14,613.6640362739563,844.9791765213013,
149,hm_llama3,7,22.533999999999995,1399,24,,0.0,2025-12-11_07-31-54,729.0700256824493,1025.343859910965,
150,hm_llama3,7,13.173999999999998,1099,20,,0.0,2025-12-11_07-38-25,677.8850374221802,753.314954996109,
151,hm_llama3,7,-75.364,1799,33,,0.0,2025-12-11_07-50-53,742.1371133327484,1244.5192341804504,
152,hm_llama3,1,-27.18200000000001,1099,18,,0.0,2025-12-11_10-43-16,800.8169238567352,852.556459903717,
153,hm_llama3,1,-67.02,1999,33,,0.0,2025-12-11_10-40-55,709.2760109901428,1441.5153181552887,
154,hm_llama3,2,-6.496,1199,20,,0.0,2025-12-11_13-58-42,771.6813750267029,915.4446580410004,
155,hm_llama3,1,-45.408,1599,28,,0.0,2025-12-11_13-58-22,718.5390210151672,1215.2315583229065,
156,hm_llama3,3,-5.988,1199,20,,0.0,2025-12-11_14-16-31,673.7249176502228,838.4012987613678,
157,hm_llama3,3,15.553,1599,31,,0.0,2025-12-11_14-20-52,857.3002831935883,1326.3794095516205,
158,hm_llama3,3,14.255,1299,21,,0.0,2025-12-11_14-32-54,732.4539322853088,925.3566615581512,
159,hm_llama3,3,33.45399999999999,1599,26,,0.0,2025-12-11_14-45-27,748.3290119171143,1167.4046688079834,
160,hm_llama3,4,-4.156000000000001,1399,23,,0.0,2025-12-11_15-41-04,729.907190322876,1048.4426839351654,
161,hm_llama3,4,-18.26,1399,23,,0.0,2025-12-11_15-41-25,718.9993379116058,1105.108419418335,
162,hm_llama3,4,29.995999999999995,1499,26,,0.0,2025-12-11_16-00-32,729.9781761169434,1176.378464460373,
163,hm_llama3,4,43.472,2299,40,,0.0,2025-12-11_16-02-00,655.9731390476227,1687.8340530395508,
164,hm_llama3,5,-1.035,1099,11,,0.0,2025-12-11_16-22-28,564.210527420044,629.2004685401917,
165,hm_llama3,5,5.828999999999999,1099,11,,0.0,2025-12-11_16-32-31,597.0591621398926,628.3263349533081,
166,hm_llama3,5,-5.207,1799,21,,0.0,2025-12-11_16-44-53,579.1869938373566,1188.0486600399015,
167,hm_llama3,5,56.007,3099,24,,0.0,2025-12-11_16-35-05,482.4693262577057,1891.113420248032,
